household_id,person_number,puma_area_code,age_years,sex,race_code,education_code,marital_status,wages_income,total_personal_income,income_to_poverty_ratio,employment_status_code
2023HU1442950,1,102,44,2,8,23,1,250000,250000,501,1
2023HU0825646,1,103,37,2,1,22,5,82000,82000,501,1
2023HU1198379,1,101,67,2,1,21,3,200000,200000,501,1
2023HU0925862,1,101,45,1,1,22,1,285000,393000,501,1
2023HU1069575,1,103,41,1,1,23,1,140000,145000,501,1
2023HU1185126,1,102,82,2,2,22,2,0,79200,501,6
2023HU0939437,3,101,4,1,1,2,5,,,501,
2023GQ0130858,1,106,17,2,1,18,5,0,0,,6
2023GQ0033353,1,106,23,1,1,22,5,0,6100,,6
2023HU0222525,2,103,60,1,1,23,1,170000,170000,501,1
2023HU0316041,1,105,19,2,9,18,5,18000,18000,117,1
2023HU1141095,1,102,40,2,9,19,1,0,0,107,6
2023GQ0028055,1,103,23,1,1,18,5,3400,3400,,1
2023HU0209097,4,102,1,2,2,,5,,,501,
2023HU0915911,1,101,43,2,1,23,1,190000,190000,501,1
2023HU0272014,2,102,61,2,1,23,1,120000,120000,501,1
2023HU0466297,1,101,65,1,1,23,3,224000,273900,501,1
2023HU0635994,1,104,40,2,1,16,5,0,560,1,3
2023HU0950886,1,101,48,1,1,21,1,115000,115000,501,1
2023HU1445138,3,106,13,2,8,10,5,,,177,
2023HU0169870,1,105,73,1,1,23,5,0,306000,501,6
2023HU1452153,1,103,24,1,1,17,5,42000,42000,201,1
2023HU0680807,2,104,62,1,2,21,1,27300,27580,501,1
2023HU0453997,2,101,40,2,1,24,1,105000,105000,501,1
2023HU0429263,2,104,27,2,2,21,5,8900,8900,501,1
2023HU0140307,2,104,34,1,2,16,5,120000,147000,501,1
2023HU0394126,2,104,50,1,2,22,1,90000,90000,501,1
2023HU0160723,2,104,15,2,2,12,5,0,0,297,
2023HU0473012,3,102,30,1,2,22,5,40000,40000,380,1
2023HU1074827,1,106,37,2,1,21,5,100000,100000,501,1
2023HU0146850,2,106,23,2,1,21,5,55000,55500,352,1
2023GQ0037007,1,106,18,2,6,18,5,0,0,,6
2023HU0504749,1,101,72,2,1,21,4,0,95200,501,6
2023HU0788069,4,102,23,2,8,18,1,38000,38000,501,1
2023HU1156583,1,103,61,1,1,21,5,160000,160000,501,1
2023HU0125629,1,101,75,2,1,22,3,0,78000,501,6
2023HU1307363,3,102,2,2,1,,5,,,501,
2023HU0967016,1,104,71,1,2,16,5,0,34900,246,1
2023HU0492276,1,101,46,1,1,22,5,121000,132500,501,1
2023HU0582652,1,106,55,1,6,19,4,185000,185000,501,1
2023HU0835615,1,101,74,2,1,22,1,0,109000,501,1
2023HU0080244,1,103,55,2,1,22,3,116000,120000,501,1
2023HU0607288,3,101,14,2,2,11,5,,,501,
2023HU0092019,1,106,27,2,1,21,5,100000,100000,501,1
2023HU0226194,1,104,72,2,2,14,5,0,16000,112,6
2023HU1284108,1,103,76,2,2,16,2,0,0,0,6
2023HU0099879,2,101,65,1,6,24,1,0,0,365,6
2023HU0313717,1,105,24,1,9,21,5,21000,18100,114,3
2023HU0889088,1,104,61,2,2,16,1,34000,34000,218,1
2023HU1051247,3,105,0,2,2,,5,,,,
2023HU0220861,1,102,41,1,2,21,1,72000,72000,501,1
2023HU0472766,2,102,36,2,8,16,3,0,0,0,6
2023HU0707080,3,102,62,1,2,21,5,40000,43000,275,1
2023HU1290523,3,104,25,1,2,16,5,517000,517000,501,1
2023HU0991625,3,102,59,2,1,20,5,0,0,0,6
2023HU0487205,2,101,38,2,1,21,1,275000,275000,501,1
2023HU0243311,2,106,28,2,6,23,1,60000,60000,475,1
2023HU0998152,2,103,60,1,1,21,5,0,80000,501,1
2023HU0867554,1,104,45,2,2,16,5,37600,37600,239,1
2023HU0098660,1,106,22,1,6,22,5,0,0,0,6
2023HU0554129,1,105,27,2,1,22,5,64000,64000,418,1
2023GQ0124928,1,106,25,1,1,21,5,7000,12000,,1
2023HU0142794,1,101,31,1,9,22,1,200000,200000,501,1
2023HU1235554,2,102,94,1,2,23,1,0,159600,501,6
2023HU0663685,1,105,45,2,6,23,1,182000,187000,501,1
2023HU0272100,1,105,76,2,2,23,5,0,18000,128,6
2023HU0429811,3,101,61,2,8,5,3,0,0,0,6
2023HU0174413,1,101,29,2,6,22,5,28000,28000,180,1
2023HU0552265,3,104,13,2,2,9,5,,,341,
2023HU1166590,1,106,78,2,2,20,3,0,62000,426,6
2023HU1269457,1,103,29,1,1,22,5,35000,35100,226,1
2023HU0996823,4,104,9,2,2,6,5,,,150,
2023HU1380984,8,101,2,1,9,,5,,,501,
2023HU1022490,2,102,40,2,2,19,1,0,60000,501,1
2023HU1199291,2,104,60,2,2,6,5,0,3600,318,6
2023HU0194848,3,102,1,2,1,,5,,,501,
2023HU1195596,3,101,31,2,6,22,5,17800,39300,501,1
2023HU1345578,1,102,31,2,1,21,1,70000,70000,422,2
2023HU0441447,1,102,69,1,8,22,1,670,48870,501,6
2023HU0051206,2,102,57,1,2,16,1,45000,45000,501,1
2023HU1316192,4,105,19,2,8,15,5,25000,25000,195,1
2023HU1406727,1,105,29,2,1,21,5,175000,175300,501,1
2023HU0839006,3,101,16,2,1,13,5,150,150,501,6
2023HU1023419,1,102,63,1,2,21,2,42000,122000,501,1
2023HU0848661,2,102,50,1,2,16,3,85000,107200,501,1
2023HU1160527,3,102,8,1,1,6,5,,,501,
2023GQ0097032,1,102,22,1,2,16,5,0,40000,259,1
2023HU0749342,4,102,0,1,1,,5,,,501,
2023HU1141425,1,106,29,1,1,24,5,60000,60000,383,1
2023HU0906187,1,102,46,2,2,21,3,130000,140000,501,1
2023HU0310205,2,102,40,2,6,21,1,100000,100000,501,1
2023HU0840361,5,105,23,1,9,16,5,35000,35000,501,1
2023HU1055170,4,103,9,2,1,6,5,,,501,
2023HU0497489,6,102,11,1,9,9,5,,,128,
2023HU0326496,3,105,1,1,9,,5,,,501,
2023HU0254024,1,103,31,2,1,23,1,75000,75080,501,1
2023HU1157655,3,103,11,2,9,8,5,,,301,
2023HU0122405,4,104,7,1,2,5,5,,,16,
2023HU0381758,1,104,67,2,2,21,5,0,12700,90,6
2023HU0479953,3,103,0,1,1,,5,,,501,
2023GQ0049024,1,106,21,2,1,19,5,2300,2300,,1
2023HU0690045,1,103,40,1,1,24,1,77000,77060,501,1
2023HU0591695,2,101,55,1,1,23,1,328000,328000,501,1
2023HU0610084,2,106,26,2,6,22,1,92000,92000,501,1
2023GQ0049018,1,105,66,1,2,1,5,0,23300,165,6
2023HU0750110,1,102,85,2,2,23,3,0,86700,501,6
2023GQ0006700,1,101,20,2,1,19,5,5500,5500,,1
2023HU1087979,1,105,69,1,8,17,2,0,3000,21,1
2023HU1226383,1,104,43,2,2,21,1,65000,65000,501,1
2023HU0192353,1,105,28,2,1,22,5,5000,5000,32,1
2023HU0190948,1,102,60,2,1,22,5,206000,213300,501,1
2023HU1107276,2,103,38,1,6,22,1,200000,230000,501,3
2023HU1285071,1,105,29,2,1,23,5,200000,200000,501,1
2023HU0277465,1,101,80,2,1,23,5,0,258700,501,6
2023GQ0156330,1,105,18,2,2,16,5,5100,5100,,1
2023HU0329807,1,106,81,1,1,23,3,0,110400,501,6
2023HU1368905,1,105,44,1,6,23,5,70000,71000,460,1
2023HU0791282,4,106,1,2,9,,5,,,425,
2023HU0637457,2,105,55,1,1,23,1,870000,875000,501,1
2023HU0115699,2,103,32,1,2,16,5,7600,7600,291,1
2023HU0273130,1,103,45,1,1,21,1,0,45000,501,1
2023HU0829025,1,102,79,2,2,21,2,0,18000,397,6
2023HU0732965,2,103,78,2,6,24,1,0,14000,219,6
2023HU0220861,4,102,4,2,2,1,5,,,501,
2023HU1108876,1,102,54,2,1,22,3,80000,80000,501,1
2023HU0269869,3,102,4,2,9,1,5,,,501,
2023HU0398947,4,101,25,1,1,21,5,0,10500,501,6
2023GQ0007349,1,102,18,2,9,18,5,1200,1200,,6
2023GQ0079755,1,101,20,2,2,19,5,5000,5000,,1
2023HU0916069,1,103,58,2,1,23,5,86000,153000,501,1
2023HU1337879,1,105,54,1,1,23,3,310000,310000,501,1
2023HU0967042,2,105,9,2,2,6,5,,,1,
2023HU0445300,1,106,31,2,1,22,5,103000,103000,501,1
2023HU0075335,4,105,2,1,1,,5,,,501,
2023HU0059796,4,101,88,2,6,20,1,0,45000,501,6
2023GQ0028032,1,102,39,1,1,23,5,35000,45000,290,1
2023HU0289772,2,101,57,1,1,22,1,100000,100000,491,1
2023HU0860634,1,106,64,2,2,14,5,0,5500,35,6
2023HU1306662,3,103,2,1,1,,5,,,501,
2023HU0402576,1,101,34,1,1,21,1,137000,139000,501,1
2023HU0570563,2,103,68,1,1,22,1,0,358000,501,6
2023HU0228539,1,106,25,2,1,21,5,71000,71000,464,1
2023HU0354786,1,101,29,1,1,22,5,140000,140000,501,1
2023HU0751327,3,101,9,1,1,7,5,,,501,
2023HU0336560,2,103,66,2,1,23,1,0,98500,501,6
2023HU0687287,1,102,34,1,1,21,1,147000,149000,501,1
2023GQ0008194,1,103,19,1,2,18,5,32000,47000,,1
2023HU0606554,5,101,0,1,1,,5,,,501,
2023HU1037522,1,101,34,1,1,22,1,280000,282000,501,1
2023GQ0144903,1,106,21,1,1,19,5,12700,12700,,6
2023HU0731662,1,106,38,2,1,21,5,135000,144000,501,1
2023HU0677177,2,104,34,1,2,15,5,0,7300,137,6
2023HU0065742,1,104,70,2,2,16,2,0,19500,134,6
2023HU0676214,1,101,64,2,1,22,1,0,0,501,6
2023HU0907436,2,102,56,2,2,21,1,86000,86000,501,1
